Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
25418446,Sharaz-De,Sergio Toppi,"Toppi, Sergio",,"=""""","=""9789896824983""",5,4.44,Levoir,Hardcover,224,2015,1984,2015/12/19,2015/12/17,,,read,,,,1,,,0,,,,,
24818243,O Último Europeu,Miguel Real,"Real, Miguel",,"=""9722056395""","=""9789722056397""",2,3.45,Dom Quixote,Paperback,280,2015,2015,2015/12/16,2015/12/02,,,read,,,,1,,,0,,,,,
27386588,"Vingadores: O Último Ato (Coleção Oficial Graphic Novels Marvel, #2)",Brian Michael Bendis,"Bendis, Brian Michael",David Finch,"=""""","=""9788447127955""",3,3.93,Salvat,Hardcover,176,2015,2006,2015/12/10,2015/12/10,,,read,,,,1,,,0,,,,,
24926743,"Batman: Presa (75 Anos de Batman, #6)",Doug Moench,"Moench, Doug",Paul Gulacy,"=""""","=""9789896824723""",3,3.94,Levoir,Hardcover,136,2015,1990,2015/12/01,2015/11/30,,,read,,,,1,,,0,,,,,
7647633,Os Crimes do ABC,Agatha Christie,"Christie, Agatha",Teresa Curvelo,"=""""","=""9788447360369""",5,4.03,RBA  Coleccionables,Hardcover,236,2008,1936,2015/11/30,2015/11/25,,,read,,,,1,,,0,,,,,
10768694,A Contadora de Filmes,Hernán Rivera Letelier,"Letelier, Hernán Rivera",,"=""972234479X""","=""9789722344791""",4,3.77,Presença,Paperback,88,2011,2009,2015/11/25,2015/11/23,,,read,,,,1,,,0,,,,,
27225038,"O Espetacular Homem-Aranha: Regresso às Origens (Coleção Oficial Graphic Novels Marvel, #1)",J. Michael Straczynski,"Straczynski, J. Michael",John Romita Jr.,"=""""","=""9788447127948""",3,4.19,Salvat,Hardcover,160,2015,,2015/11/23,2015/11/24,,,read,,,,1,,,0,,,,,
25714887,O Diabo e Eu,Alcimar Frazão,"Frazão, Alcimar",,"=""""","=""9789898513458""",2,3.57,Polvo,Paperback,48,2015,2013,2015/11/12,2015/11/12,,,read,,,,1,,,0,,,,,
25369740,Em Busca de Peter Pan,Cosey,"Cosey, Cosey",,"=""""","=""9789896824976""",4,3.82,Levoir,Hardcover,136,2015,1984,2015/11/05,2015/11/03,,,read,,,,1,,,0,,,,,
22009717,Mensagem,Fernando Pessoa,"Pessoa, Fernando",,"=""""","=""""",3,4.20,Parceria António Maria Pereira,,,1934,1934,2015/11/03,2015/11/03,,,read,,,,1,,,0,,,,,
20512881,Os Lusíadas,Luís de Camões,"Camões, Luís de",,"=""""","=""""",5,4.01,José Modlin,,,,1572,2015/10/21,2015/10/07,,,read,,,,1,,,0,,,,,
2562708,O Perfume: História de um Assassino,Patrick Süskind,"Süskind, Patrick",Maria Emília Ferros Moura,"=""""","=""""",5,4.02,Editorial Presença,Paperback,273,1994,1985,,2010/05/30,,,read,,,,1,,,0,,,,,
17238318,Scott Pilgrim no Seu Melhor,Bryan Lee O'Malley,"O'Malley, Bryan Lee",,"=""9897070478""","=""9789897070471""",4,4.42,Booksmile,Paperback,248,2011,2010,2015/10/07,2015/10/06,,,read,,,,1,,,0,,,,,
17238306,Scott Pilgrim Contra o Universo,Bryan Lee O'Malley,"O'Malley, Bryan Lee",,"=""989707046X""","=""9789897070464""",4,4.33,Booksmile,Paperback,184,2011,2009,2015/10/06,2015/10/05,,,read,,,,1,,,0,,,,,
